,text,label
2942,"Présence annoncée des ""Hells Angels"" comme invité d'honneur lors d'un événement sous le haut patronage du Gouvernement",Premier Ministre
2943,Conséquences du glissement de terrain entre Michelau et Erpeldange,Ministre du Développement durable et des Infrastructures
2944,Electro-mobilité,Ministre du Développement durable et des Infrastructures
2945,Conditions d'admission des écoles européennes,Ministre de l'Education nationale
2946,Frais d'exécution des virements bancaires sur les salaires,Ministre des Finances
2947,Mariages simulés,Ministre de la Justice
2948,Responsabilité de l'Etat en matière de vaccinations,Ministre de la Santé
2949,Contrôles d'agences immobilières,Ministre des Finances
2950,Centres d'intervention de la Police grand-ducale,Ministre de la Justice
2951,Personnes intoxiquées lors d'un concours hippique,Ministre de la Santé
2952,Etat d'avancement des plans sectoriels,Ministre du Développement durable et des Infrastructures
2953,Efficacité du médicament Tamiflu,Ministre de la Santé
2954,Plan Juncker,Premier Ministre
2955,Métavers (Mondes virtuels),Ministre des Finances
2956,Boni pour enfants pour personnes non résidentes au Luxembourg,Ministre des Finances
2957,Brevets des médicaments de marque,Premier Ministre
2958,Principes élémentaires de la démocratie et de l'éthique politique (exemple Kayl),Ministre de l'Intérieur
2959,Frais de photocopies dans l'enseignement secondaire,Ministre de l'Education nationale
2960,Création d'un Laboratoire National de Médecine Légale et de Police Scientifique,Ministre de la Justice
2961,Activités terroristes sur notre territoire national,Premier Ministre
2962,"Primes étatiques ""PRIMe CAR-e et PRIMe CAR-e plus""",Ministre du Développement durable et des Infrastructures
2963,"""Principles for Responsible Banking de l'UNEP Finance Initiative",Ministre des Finances
2964,Exécution de la loi du 23 juillet 1993,Ministre de la Sécurité sociale
2965,Plan sectoriel des zones inondables,Ministre de l'Intérieur
2966,LuxTrust,Premier Ministre
2967,"Future zone d'activités au lieu dit ""Flébour"" près de Michelau",Ministre du Développement durable et des Infrastructures
2968,Fonction du secrétaire communal,Ministre de l'Intérieur
2969,Répercussions sur l'économie luxembourgeoise des sanctions économiques de l'Union européenne vis-à-vis de la Russie,Premier Ministre
2970,Chambres réservées aux soins palliatifs,Ministre de la Santé
2971,Evolution du canton de Mersch,Ministre du Développement durable et des Infrastructures
2972,Statut juridique du cannabis,Ministre de la Justice
2973,Vaccination dans les maisons de retraite et de soins,Ministre de la Santé
2974,Problèmes de mobilité à l'échangeur Kirchberg après l'ouverture complète de l'autoroute du Nord,Ministre du Développement durable et des Infrastructures
2975,Grève des élèves et étudiants,Ministre de l'Education nationale
2976,Tilidine,Ministre de la Santé
2977,"Bilan judiciaire en matière de blanchiment en vue du ""peer review"" par le GAFI en 2021",Ministre de la Justice
2978,Subventions communales dans le cadre de la pandémie du coronavirus,Ministre de l'Intérieur
2979,La criminalité économique et financière au Grand-Duché de Luxembourg,Ministre de la Justice
2980,Vaccination contre la grippe,Ministre de la Santé
2981,Détecteur de drogues au Centre pénitentiaire de Luxembourg (CPL),Ministre de la Justice
2982,Incident à la centrale nucléaire de Fessenheim,Ministre de la Santé
2983,Secret de la correspondance,Ministre de la Justice
2984,Pages Internet à caractère fasciste et raciste,Ministre de la Justice
2985,Refus d'affichage des publicités dans le cadre de la lutte contre le SIDA,Ministre de la Santé
2986,Lunettes pour la protection des yeux lors de l'éclipse solaire,Ministre de la Santé
2987,Permis de chasser,Ministre des Finances
2988,Fraude au chômage partiel,Ministre des Finances
2989,Tutorat dans le cadre de l'enseignement secondaire,Ministre de l'Education nationale
2990,Nouvelle orthographe française,Ministre de l'Education nationale
2991,"Proposition de constituer un groupe des petits pays européens dont la population est inférieure à un million d'habitants dit le ""G9""",Premier Ministre
2992,Ambassade du Luxembourg en Inde,Ministre des Finances
2993,Médecine environnementale,Ministre de la Santé
2994,Activités de Madame le Ministre de la Famille et de l'Intégration sur les réseaux sociaux,Premier Ministre
2995,La centrale nucléaire de Cattenom,Premier Ministre
2996,"Interventions de la police dans les foyers, écoles, crèches",Ministre de la Justice
2997,Enregistrement des drones de loisirs,Ministre du Développement durable et des Infrastructures
2998,Illettrisme,Ministre de l'Education nationale
2999,Sanctions contre le régime syrien,Ministre des Finances
3000,Publication du PAG ainsi que du règlement sur les bâtisses sur les sites internet des communes,Ministre de l'Intérieur
3001,Friche industrielle Laminoir de Dudelange,Ministre des Finances
3002,Fonctionnement du secteur financier,Ministre de la Justice
3003,Vaccination des sans-abris,Ministre de la Santé
3004,Fonds de dédommagement des enrôles de force victimes du nazisme,Premier Ministre
3005,Service de transport Adapto,Ministre du Développement durable et des Infrastructures
3006,CLT-Ufa et la Pay-TV digitale,Premier Ministre
3007,Mesures sanitaires des prestataires de soins à domicile,Ministre de la Santé
3008,Augmentation des accises sur le tabac,Ministre des Finances
3009,"Plan national «Gesond iessen, Méi bewegen» et la promotion de l'activité physique en général",Ministre de la Santé
3010,Vaccination contre la Covid-19 dans le cas d'une prise de médicaments pour fluidifier le sang,Ministre de la Santé
3011,\,Ministre de la Sécurité sociale
3012,Prolongement de l'interdiction de l'importation du maïs génétiquement modifié,Ministre de la Santé
3013,Subventionnement des communes,Ministre de l'Intérieur
3014,Remboursement de la taxe sur les véhicules routiers,Ministre des Finances
3015,Mise sur un pied d'égalité des partenaires légaux et des couples mariés en matière d'impôt sur le revenu,Ministre des Finances
3016,Cessation des activités du service d'hygiène du milieu et de surveillance biologique du LNS,Ministre de la Santé
3017,Affectation de la Villa Louvigny,Ministre des Finances
3018,Réforme de la législation concernant la chasse,Ministre de l'Intérieur
3019,Démographie des conseils communaux,Ministre de l'Intérieur
3020,Cours sur l'application de la législation sur les contributions,Ministre des Finances
3021,Baccalauréat international,Ministre de l'Education nationale
3022,Accessibilité des pistes cyclables,Ministre du Développement durable et des Infrastructures
3023,Formulaire de l'examen du permis de conduire et protection du secret médical,Ministre de la Santé
3024,Logement de service des agents de la Gendarmerie Grand-Ducale,Ministre de l'Intérieur
3025,Accueil des enfants dans le cadre de la reprise des cours dans l'enseignement fondamental,Ministre de l'Education nationale
3026,Actualisation des tests néonataux,Ministre de la Santé
3027,Réglementation des émissions ionisantes des réseaux de téléphonie mobile,Premier Ministre
3028,Droit de vote par correspondance en cas de référendum local,Ministre de l'Intérieur
3029,Informatique médicale,Ministre de la Santé
3030,Régression de la consommation interne,Ministre des Finances
3031,Déclarations de naissance,Ministre de l'Intérieur
3032,"Exposition ""L'islam au Luxembourg - l'islam du Luxembourg""",Ministre de l'Education nationale
3033,Déclarations du président américain Barack Obama au sujet des programmes de surveillance des services secrets américains,Premier Ministre
3034,Echanges d'informations fiscales pour les entreprises,Ministre des Finances
3035,Procédure d'expropriation,Ministre de la Justice
3036,Fonds communal de péréquation conjoncturelle,Ministre des Finances
3037,Palais de justice de Diekirch,Ministre du Développement durable et des Infrastructures
3038,Calmants benzodiazépiniques,Ministre de la Santé
3039,Besoin en lits de soins,Ministre de la Santé
3040,Introduction d'un dossier médical digital,Ministre de la Sécurité sociale
3041,"Opération d'espionnage ""Rubicon""",Premier Ministre
3042,Impact de la radiation de la téléphonie sans fil sur la santé humaine,Ministre de la Santé
3043,Lutte anti-tabac,Ministre de la Santé
3044,Coupure du raccordement téléphonique en cas de non-paiement des factures,Ministre de la Justice
3045,Remboursement de la tonsillotomie,Ministre de la Sécurité sociale
3046,Morts liées aux vaccins Prevenar et ActHIB,Ministre de la Santé
3047,Nationalité luxembourgeoise,Ministre de la Justice
3048,Langue des signes,Ministre de l'Education nationale
3049,Ostéopathes,Ministre de la Santé
3050,Enfants atteints d'un trouble d'apprentissage,Ministre de l'Education nationale
3051,Fonds souverain intergénérationnel,Ministre des Finances
3052,Acclimatation de la veuve noire,Ministre de la Santé
3053,Zone franche au Luxembourg,Ministre des Finances
3054,Diminution tarifaire des actes infirmiers effectués par des infirmiers libéraux,Ministre de la Sécurité sociale
3055,Conflits d'intérêts au niveau du Collège des bourgmestre et échevins,Ministre de l'Intérieur
3056,Vente de participations par la BCEE et la SNCI,Ministre des Finances
3057,Assermentation des officiers de police judiciaire de l'Administrtion des Douanes et Accises,Ministre des Finances
3058,Conformité des masques,Ministre de la Santé
3059,Vélos à assistance électrique,Ministre du Développement durable et des Infrastructures
3060,Poubelle pour déchets biodégradables,Ministre de l'Intérieur
3061,"Documentation pour le cours ""Vivre ensemble au Grand-Duché de Luxembourg""",Ministre de la Justice
3062,Tuberculose et sida dans le milieu carcéral,Ministre de la Justice
3063,Santé affective et sexuelle,Ministre de l'Education nationale
3064,Introduction d'une monnaie alternative dans le canton de Rédange,Ministre des Finances
3065,Délégué à la sécurité,Ministre de l'Education nationale
3066,Traitements médicamenteux prophylaxie préexposition (PrEP) et prophylaxie postexposition (PEP) au VIH,Ministre de la Santé
3067,Epidémie d'infections,Ministre de la Santé
3068,Droits d'enregistrement,Ministre des Finances
3069,Récentes intempéries survenues au Luxembourg,Premier Ministre
3070,Lampes à économie d'énergie,Ministre de la Santé
3071,Éco-prêt à taux zéro destinés à financer la rénovation thermique des bâtiments et logments privés,Ministre des Finances
3072,Accès à Internet,Ministre de l'Education nationale
3073,Problèmes rencontrés en matière d'exécution des peines,Ministre de la Justice
3074,Non- subvention des bicyclettes électriques à pédalage assisté,Ministre du Développement durable et des Infrastructures
3075,Effets nocifs des lignes électriques à haute tension,Ministre de la Santé
3076,Parti pédophile néerlandais (PNVD),Premier Ministre
3077,Reclassement du cannabidiol (CBD),Ministre de la Santé
3078,Piste cyclable RAVEL entre Aix-la-Chapelle et Troisvierges,Ministre du Développement durable et des Infrastructures
3079,Personnel de l'Education Différenciée (Ediff),Ministre de l'Education nationale
3080,Gestion du site universitaire de Belval,Ministre du Développement durable et des Infrastructures
3081,Situation dans les structures d'accueil pour demandeurs de protection internationale,Ministre de l'Education nationale
3082,Transport des prévenus au tribunal,Ministre de l'Intérieur
3083,Gratuité de l'instruction primaire,Ministre de l'Intérieur
3084,Utilisation de la langue luxembourgeoise,Premier Ministre
3085,Attributions des membres du conseil communal,Ministre de l'Intérieur
3086,Médailles de mérite,Premier Ministre
3087,Trafic journalier sur l'A7 et dans la vallée de l'Alzette,Ministre du Développement durable et des Infrastructures
3088,Laboratoire national de santé,Ministre de la Santé
3089,Règlement européen concernant la coordination des systèmes de sécurité sociale,Ministre de la Sécurité sociale
3090,"Regroupement des trois ""Stroke-Units""",Ministre de la Santé
3091,Maladies neurodégénératives,Ministre de la Santé
3092,Collaboration avec la commission d'enquête PANA du Parlement européen,Ministre des Finances
3093,Conditions de scolarisation dans l'école au centre de réfugiés à Weilerbach,Ministre de l'Education nationale
3094,"Recommandation 1777 de l'Assemblée parlementaire du Conseil de l'Europe relative aux agressions sexuelles liées aux ""drogues du viol""",Ministre de la Santé
3095,Gestion des biens appartenant à l'Etat et loués à des particuliers,Ministre des Finances
3096,Livres scolaires,Ministre de l'Education nationale
3097,Traité de libre-échange entre l'Union européenne et le Mercosur,Premier Ministre
3098,Vaccination des ostéopathes,Ministre de la Santé
3099,Code de déontologie pour les agents de l'Etat et émoluments revenant aux fonctionnaires pour l'accomplissement de leur mission dans les conseils d'administration,Premier Ministre
3100,"""Homeschooling""",Ministre de l'Education nationale
3101,Port du voile,Ministre de la Justice
3102,Tests des gaz d'échappement des véhicules,Ministre du Développement durable et des Infrastructures
3103,Introduction d'un passeport personnel pour enfants,Ministre de la Justice
3104,Réglementation FATCA,Ministre des Finances
3105,Vélos et motos à la gare CFL Luxembourg,Ministre du Développement durable et des Infrastructures
3106,Taux d'imposition des sociétés,Ministre des Finances
3107,Audit de la santé au travail et codification des incapacités de travail,Ministre de la Sécurité sociale
3108,Infrastructures adéquates pour l'entraînement au cyclisme (indoor ou outdoor),Ministre de l'Education nationale
3109,Année européenne contre le racisme,Premier Ministre
3110,Statistiques dans le cadre de la pandémie du coronavirus,Ministre de la Santé
3111,Entrée en vigueur de l'assurance dépendance à partir du 1er janvier 1999,Ministre de la Santé
3112,Carte d'invalidité,Ministre du Développement durable et des Infrastructures
3113,Impact de la taxe CO2 sur le prix du mazout,Ministre des Finances
3114,Étude sur l'impact du secteur financier sur l'économie luxembourgeoise,Ministre des Finances
3115,Modifications projetées au niveaux des horaires de la CFL,Ministre du Développement durable et des Infrastructures
3116,Futur modèle économique de la banque DEXIA-BIL,Ministre des Finances
3117,Harcèlement à l'école,Ministre de la Justice
3118,Inscription de la protection de l'enfant dans la Constitution luxembourgeoise,Ministre de la Justice
3119,Abattoir de Mersch,Ministre de la Justice
3120,Geste de bienvenue aux nouveaux détenteurs de la nationalité luxembourgeoise,Ministre de la Justice
3121,Loi sur la réforme de la législation sur l'avortement,Ministre de la Santé
3122,Adaptation de l'âge électoral passif,Premier Ministre
3123,"""Topmix permeable""",Ministre du Développement durable et des Infrastructures
3124,Taux de TVA super-réduit pour la réparation d'objets d'usage courant,Ministre des Finances
3125,Test rapide pour le diagnostic de la Covid-19,Ministre de la Santé
3126,Concours artistique scolaire dans le cadre de l'Exposition universelle 2020 aux Emirats arabes unis,Ministre de l'Education nationale
3127,Prise en charge des frais médicaux des demandeurs d'asile,Ministre de la Sécurité sociale
3128,"Glucomètre sans piqûre ""Freestyle Libre""",Ministre de la Sécurité sociale
3129,Délais à respecter pour une mise en bière,Ministre de la Santé
3130,Promotion des produits du terroir dans les hôpitaux,Ministre de la Santé
3131,Indice de corruption de l'organisation Transparency International,Ministre de la Justice
3132,Audit de la police judiciaire,Ministre de la Justice
3133,Incompatibilités avec le mandat de conseiller communal,Ministre de l'Intérieur
3134,Protection de licenciement dans le cadre du congé politique,Ministre de l'Intérieur
3135,Durée d'affectation des éducatrices et éducateurs dans un établissement donné,Ministre de l'Education nationale
3136,Centrale nucléaire de Cattenom,Ministre de la Santé
3137,Vote obligatoire pour tous les électeurs inscrits sur les listes électorales,Premier Ministre
3138,Traitements contre l'arthrose,Ministre de la Sécurité sociale
3139,Fusion entre la CLT et le groupe BERTELSMANN-UFA,Premier Ministre
3140,Récent jugement de la Cour de justice de l'Union européenne concernant les médicaments,Ministre de la Santé
3141,Financement des allocations familiales,Ministre des Finances
3142,Auberge de jeunesse de Bourglinster,Ministre de l'Education nationale
3143,Imposition des associations,Ministre des Finances
3144,Collisions avec du gibier,Ministre de la Justice
3145,Bus à moteur hybride ou à batterie électrique,Ministre du Développement durable et des Infrastructures
3146,Imposition des revenus des travailleurs frontaliers,Ministre des Finances
3147,Contrôle médical d'embauche,Ministre de la Santé
3148,Emploi dans l'industrie,Ministre de l'Intérieur
3149,Lixiviat et installation mécano-biologique (MBA) du SIDEC,Ministre du Développement durable et des Infrastructures
3150,Programme d'aide au sevrage tabagique du Ministère de la Santé,Ministre de la Santé
3151,Baisse des droits d'accises sur les cigarettes,Ministre des Finances
3152,Renforcement de la présence d'agents de l'Administration des Douanes et Accises sur des lieux publics,Ministre des Finances
3153,Erreur de retenue d'impôt dans le secteur public,Ministre de l'Intérieur
3154,Violences obstétricales et gynécologiques,Ministre de la Santé
3155,Passage à niveau de la ligne ferroviaire Luxembourg-Kleinbettingen à Capellen,Ministre du Développement durable et des Infrastructures
3156,Implantation de Google au Luxembourg,Ministre des Finances
3157,Visite médicale pour l'embauche,Ministre de l'Education nationale
3158,Taxe écologique européenne,Ministre des Finances
3159,Système de classification uniforme au niveau de l'UE des activités économiques durables,Ministre des Finances
3160,Participation de l'entreprise aux charges résultant du versement des indemnités de préretraite,Premier Ministre
3161,Trafic routier à Diekirch,Ministre du Développement durable et des Infrastructures
3162,Identification par la police grand-ducale des plaques d'immatriculation relevées par la police belge,Ministre de l'Intérieur
3163,Campagnes d'information et de sensibilisation lancées par le Ministère de la Santé,Ministre de la Santé
3164,"Classement du Luxembourg comme ""pays à risque""",Premier Ministre
3165,Service de garde et de remplacement des médecins généralistes,Ministre de la Sécurité sociale
3166,"Déclaration de la société CREOS Luxembourg S.A. dans le cadre du procès ""Bommeleeër""",Premier Ministre
3167,Chèque-service accueil,Ministre de l'Education nationale
3168,Compteurs intelligents,Ministre de la Santé
3169,Intérêt de la CMCM pour la commande de vaccins contre la Covid-19,Ministre de la Santé
3170,Répercussions psychologiques des retours forcés sur les enfants de réfugiés déboutés du droit d'asile,Ministre de l'Education nationale
3171,Propagation des cas d'infections au hantavirus,Ministre de la Santé
3172,Changement d'heure saisonnier,Premier Ministre
3173,Droit d'information de parents divorcés,Ministre de la Sécurité sociale
3174,Situation des détenus radicalisés au sein des établissements pénitentiaires,Ministre de la Justice
3175,Implants et prothèses,Ministre de la Santé
3176,Ouverture d'une structure pour les personnes DPI traumatisées,Ministre de la Santé
3177,Impôt commercial communal,Ministre des Finances
3178,Primes CAR-e et CAR-e plus,Ministre du Développement durable et des Infrastructures
3179,Stratégie de vaccination des personnes âgées,Ministre de la Santé
3180,Statut unique,Ministre de la Sécurité sociale
3181,Remboursement de la psychothérapie,Ministre de la Sécurité sociale
3182,Insituteur condamné pour abus sexuels,Ministre de la Justice
3183,Langues à l'école luxembourgeoise,Ministre de l'Education nationale
3184,Locaux du service des dommages de guerre corporels,Ministre de la Santé
3185,Cours d'éducation morale et sociale dans l'enseignement primaire,Ministre de l'Education nationale
3186,Dons et legs au profit des fabriques d'église,Ministre de l'Intérieur
3187,Déduction de dons,Ministre des Finances
3188,Registre de commerce des sociétés,Ministre de la Justice
3189,Affaire de corruption au Centre pénitentiaire de Luxembourg (CPL),Ministre de la Justice
3190,Rétention de personnes déboutées,Ministre de la Justice
3191,Admission de la pilule RU-486,Ministre de la Santé
3192,Avenir de l'Institut d'Etudes Européennes et Internationales au Luxembourg,Premier Ministre
3193,Appel aux dons de la part de Luxembourg Air Rescue (LAR) afin d'acquérir du matériel nécessaire pour le transport de patients Covid-19,Ministre de l'Intérieur
3194,Ponctualité des trains,Ministre du Développement durable et des Infrastructures
3195,Centre de dépistage pour la Covid-19 supplémentaire à Pétange,Ministre de la Santé
3196,Augmentation de la TVA,Ministre des Finances
3197,Education différenciée,Ministre de l'Education nationale
3198,"""Code de conduite (fiscalité des entreprises)"" du Conseil de l'Union européenne",Ministre des Finances
3199,Cours de littérature luxembourgeoise dans les lycées,Ministre de l'Education nationale
3200,Mérites Deuxième Guerre Mondiale,Premier Ministre
3201,Mise en place au niveau de la formation professionnelle d'un système de conversion des mentions du système actuel vers un système de notes chiffrées,Ministre de l'Education nationale
3202,Lutte contre le SIDA,Ministre de la Santé
3203,"Suppression des moyens financiers dans les propositions budgétaires pour 1999 aux ASBL ""Cercle d'entraide et de réadaptation pour malades mentaux"" et ""Foyer Liewen dobaussen""",Ministre de la Santé
3204,Le tabagisme chez les femmes enceintes,Ministre de la Santé
3205,Hélicoptère de la Police Grand-Ducale,Ministre de la Justice
3206,Contrôle systématique des poids lourds par la douane française,Ministre des Finances
3207,Subventions étatiques pour la construction d'écoles primaires et préscolaires,Ministre de l'Intérieur
3208,Grossesses de mineures et éducation sexuelle,Ministre de la Santé
3209,Constitution d'entreprises de clonage humain,Ministre de la Justice
3210,Gestion des inondations récentes,Ministre du Développement durable et des Infrastructures
3211,"Choix du ""provider"" pour l'utilisation des réseaux téléinformatiques des administrations communales.",Ministre de l'Intérieur
3212,Fonctionnement du Service ré-éducatif ambulatoire (SREA),Ministre de l'Education nationale
3213,Exploitation de la piscine en plein air de Mondorf-les Bains,Ministre de l'Education nationale
3214,"Exposition des salariés à des substances chimiques cancérogènes, mutagènes ou reprotoxiques (CMR)",Ministre de la Santé
3215,Offre de formation du Lycée du Nord,Ministre de l'Education nationale
3216,Plan de mesures de sécurisation de la route nationale N7 et de la voie expresse B7,Ministre du Développement durable et des Infrastructures
3217,Service national d'information et de médiation dans le domaine de la santé,Ministre de la Santé
3218,Rôle du pharmacien d'officine ouverte au public,Ministre de la Sécurité sociale
3219,Vols d'essai AWACS à l'aéroport de Luxembourg,Ministre du Développement durable et des Infrastructures
3220,Interconnexion entre les pharmacies,Ministre de la Sécurité sociale
3221,Prix du vaccin Astrazeneca,Ministre de la Santé
3222,Financement de l'enseignement musical,Ministre de l'Intérieur
3223,Taxe sur les aliments malsains,Ministre de la Santé
3224,Cas d'hépatite A dans une école à Schifflange,Ministre de la Santé
3225,Contraception,Ministre de la Santé
3226,Finances communales,Ministre de l'Intérieur
3227,Nomenclature des actes et services médicaux,Ministre de la Sécurité sociale
3228,Position actuelle du gouvernement luxembourgeois au sujet du conflit avec l'Irak,Premier Ministre
3229,Réglementation du transport de malades urgent et non urgent,Ministre de l'Intérieur
3230,Législation sur la prévention et protection contre les incendies,Ministre de l'Intérieur
3231,Carence en vitamine D,Ministre de la Santé
3232,Service d'aide médicale urgente au nord du pays,Ministre de la Santé
3233,Mégas-camions,Ministre du Développement durable et des Infrastructures
3234,Exposition au radon,Ministre de la Santé
3235,Commémoration du 70e anniversaire du début de la Seconde Guerre mondiale à Gdansk,Premier Ministre
3236,Introduction d'une assurance contre les risques de catastrophes naturelles,Ministre des Finances
3237,Friche sidérurgique de Belval,Ministre des Finances
3238,Problèmes auditifs,Ministre de la Santé
3239,"Conséquences de l'arrêt ""Digital Rights Ireland"" de la Cour de justice de l'Union européenne",Ministre de la Justice
3240,Hôpital militaire,Ministre de la Santé
3241,Dépistage des élèves intellectuellement précoces,Ministre de l'Education nationale
3242,Subsides accordés,Ministre de la Santé
3243,Position du Gouvernement luxembourgeois sur l'instauration d'un budget de la zone euro,Ministre des Finances
3244,Boeing 747 garé depuis longue date sur le tarmac de l'aéroport de Luxembourg,Ministre du Développement durable et des Infrastructures
3245,Réforme de  la législation en matière de liquidation de faillite,Ministre de la Justice
3246,"Réforme des ""stock options""",Ministre des Finances
3247,Restructuration de CFL cargo,Ministre du Développement durable et des Infrastructures
3248,Assurance accident,Ministre de la Sécurité sociale
3249,"""Text neck syndrome""",Ministre de la Santé
3250,Fonds communal de péréquation conjoncturale,Ministre de l'Intérieur
3251,Connaissances des enseignants dans le domaine des technologies de l'information,Ministre de l'Education nationale
3252,Bénéficiaire effectif,Ministre des Finances
3253,Université LUNEX à Differdange,Ministre de l'Education nationale
3254,Masques protecteurs,Ministre de la Santé
3255,Accidents de travail à la centrale nucléaire de Cattenom,Ministre de la Santé
3256,Énergie éolienne,Ministre de la Santé
3257,Tests rapides Covid-19,Ministre de la Santé
3258,Réduction de la consommation d'énergie dans les bâtiments publics,Ministre du Développement durable et des Infrastructures
3259,Contrôle des entreprises privilégiant l'argent liquide,Ministre des Finances
3260,Hélicoptère de la Air-Rescue,Ministre de la Santé
3261,Enquête de l'accident aérien survenu en novembre 2002,Ministre de la Justice
3262,Echange des cartes d'immatriculation,Ministre du Développement durable et des Infrastructures
3263,Télémédecine,Ministre de la Santé
3264,Présence de formaldéhyde dans les bureaux de l'administration des contributions,Ministre des Finances
3265,Cours de rattrapage,Ministre de l'Education nationale
3266,Travaux sur les autoroutes,Ministre du Développement durable et des Infrastructures
3267,Maladies chroniques,Ministre de la Santé
3268,Préparation du Luxembourg à la prochaine Conférence sur l'avenir de l'Europe,Premier Ministre
3269,Demande de transfert à l'étranger auprès de la CNS,Ministre de la Sécurité sociale
3270,Revêtement obligatoire de pneus d'hiver pendant la saison hivernale,Ministre du Développement durable et des Infrastructures
3271,Composition de la Commission de Nomenclature,Ministre de la Santé
3272,Impact des moteurs diesel sur la santé publique,Ministre de la Santé
3273,Reconnaissance du métier de photographe,Ministre de l'Education nationale
3274,Accord de coopération conclu entre l'aéroport de Zhengzhou et celui de Francfort-Hahn,Ministre du Développement durable et des Infrastructures
3275,"Futur des gares périphériques prévues par les concepts de mobilité intégré ""mobiliteit.lu"" et ""Mobil 2020""",Ministre du Développement durable et des Infrastructures
3276,Situation actuelle au Centre hospitalier neuropsychiatrique,Ministre de la Santé
3277,Statut unique et instruments d'action afin de combattre l'absentéisme abusif,Ministre de la Santé
3278,Pensions d'invalidité,Ministre de la Sécurité sociale
3279,"Accidents de la route de type ""car dooring""",Ministre du Développement durable et des Infrastructures
3280,Transports en commun,Ministre du Développement durable et des Infrastructures
3281,Dispense du contrôle de la connaissance des trois langues administratives,Ministre de l'Intérieur
3282,Equipement informatique dans les écoles primaires et post-primaires,Ministre de l'Education nationale
3283,Interdiction de fumer dans les voitures privées,Ministre de la Santé
3284,Tourisme vaccinal,Ministre de la Santé
3285,Coefficient de base pour une leçon d'enseignement,Ministre de l'Education nationale
3286,Implications de la stratégie de la Générale des Eaux sur le site audiovisuel de Luxembourg,Premier Ministre
3287,Echange de courriels entre le Ministère des Finances et une personne citée par la commission d'enquête Panama Papers du Parlement européen (commission PANA),Ministre des Finances
3288,Mises en quarantaine dans l'enseignement,Ministre de l'Education nationale
3289,Inégalités scolaires dans le contexte de l'enseignement à distance,Ministre de l'Education nationale
3290,Délivrance des cartes d'identité luxembourgeoises,Ministre de l'Intérieur
3291,Actifs immobiliers de la BCEE,Ministre des Finances
3292,Stage entreprise,Ministre de l'Education nationale
3293,Luxair,Ministre du Développement durable et des Infrastructures
3294,Suivi des cas d'infections Covid-19 actives connus au Luxembourg,Ministre de la Santé
3295,Nuisances sonores provoquées par la circulation automobile sur le pont provisoire dit « blo Bréck »,Ministre du Développement durable et des Infrastructures
3296,Education précoce,Ministre de l'Education nationale
3297,Opérations risquées dans le monde financier,Ministre des Finances
3298,"Problèmes avec le système d'aide à la conduite à bord ""Memor II""",Ministre du Développement durable et des Infrastructures
3299,Juridictions de la sécurité sociale,Ministre de la Santé
3300,"Détention de supports mettant en scène des actes de cruauté ou de barbarie, ainsi que des viols ou des assassinats en direct à des fins commerciales et utilisation des nouvelles technologies de l'information à des fins d'exploitation sexuelle",Ministre de la Justice
3301,Médicaments anticholinestérasiques,Ministre de la Sécurité sociale
3302,Mendicité en réunion,Ministre de la Justice
3303,Représentation des citoyens au Parlement européen,Premier Ministre
3304,Réglementation sur les éoliennes,Ministre de l'Intérieur
3305,Non paiement de traitements aux nouveaux enseignants du préscolaire,Ministre de l'Education nationale
3306,Banque de données similaire au casier judiciaire,Premier Ministre
3307,Direction de la Cargolux,Ministre du Développement durable et des Infrastructures
3308,Dette du groupe CEPAL au niveau des cotisations de la Sécurité sociale,Ministre de la Sécurité sociale
3309,Agrément d'une firme de sécurité privée,Ministre de la Justice
3310,Plans d'aménagement général,Ministre de l'Intérieur
3311,Trafic d'armes au Grand-Duché de Luxembourg,Ministre de la Justice
3312,Réforme de l'assurance pension,Ministre de la Santé
3313,Fonctionnaires de l'Administration des Contributions directes,Ministre de la Justice
3314,Droits d'inscription relatifs au Brevet de Maîtrise,Ministre de l'Education nationale
3315,Retard du décompte d'impôts pour les frontaliers licenciés,Ministre des Finances
3316,"""eduPrint""",Ministre de l'Education nationale
3317,Accords bilatéraux avec le Portugal signés le 5 avril 2017,Premier Ministre
3318,Elagage des arbres et taille des haies,Ministre du Développement durable et des Infrastructures
3319,Hausse du taux de la taxe sur la valeur ajoutée (TVA) sur certains produits,Ministre des Finances
3320,"""Enfants surdoués""",Ministre de l'Education nationale
3321,Rayonnement électromagnétique des antennes de téléphonie mobile (GSM),Ministre de la Santé
3322,"Service de permanence/urgence dans la ""Kannerklinik""",Ministre de la Santé
3323,Concept pour la légalisation du cannabis récréatif,Ministre de la Santé
3324,Accidents de la route impliquant des piétons,Ministre du Développement durable et des Infrastructures
3325,Publication des résultats des élections européennes,Ministre de l'Intérieur
3326,Offre scolaire du Lycée Josy Barthel Mamer,Ministre de l'Education nationale
3327,Loi sur les empreintes génétiques en matière pénale,Ministre de la Justice
3328,Agence bancaire européenne (ABE),Ministre des Finances
3329,Etat d'avancement d'un projet d'infrastructure scolaire postprimaire précis dans le sud du pays,Ministre de l'Education nationale
3330,Contournement de Hosingen,Ministre des Finances
3331,Obligations relatives aux autorisations de construction en zone verte,Ministre du Développement durable et des Infrastructures
3332,Décisions des conseils de classe dans l'enseignement secondaire technique,Ministre de l'Education nationale
3333,Prêts logement,Ministre des Finances
3334,Pensions de survie,Ministre de la Sécurité sociale
